,text
1267,the engines in asia-pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .
1268,"the report also said nokia 's operations comprising the sites at bochum , ulm , dusseldorf , munich and frankfurt posted operating profit after interest of 246 mln eur ."
1269,"the remaining amount will be funded through debt , the danish bank said ."
1270,"kauko-telko ltd press release 19.06.2007 at 14.00 1 ( 1 ) telko group ( kauko-telko ) is expanding its strategic partnership with bp industrial lubricants & services ( bp ils ) by acquiring total ownership of bp 's swedish retail company , molub-alloy ab ."
1271,the company said that it has agreed to a eur160m unsecured credit line from lenders .
1272,a meeting of glisten shareholders to vote on the bid will be held on 12 march .
1273,altia 's operating profit jumped to eur 47 million from eur 6.6 million .
1274,"sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur ."
1275,"the company expects its net sales for the whole of 2007 to be eur 950mn-1 ,000 mn ."
1276,the aim is to increase sales by at least one fifth in 2006 .
1277,"kone , headquartered in espoo , finland , is one of the world 's leading elevator and escalator companies ."
1278,"in 2006 , kone received an order from aker yards to supply 43 customised elevators for the very first genesis cruise ship which is scheduled to be completed in 2009 ."
1279,"the airline has ordered nine airbus a350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of rolls-royce trent series engines , called the 1700 ."
1280,"last year , lemminkainen completed the kouvola k-supermarket contract ."
1281,"when the negotiations were started , neste oil anticipated that 450 people would be affected ."
1282,`` rapala is excited to be partnering with rbff and other industry leaders on this holiday promotion . ''
1283,the merger between the two telecoms operators was expected to result in the world 's fourth largest telecoms operator .
1284,"bawag - is to issue a benchmark , covered deal ."
1285,"finnish financial solutions developer basware corporation ( omx helsinki bas1v ) said on tuesday ( 23 september ) that it will deliver a complete invoice automation solution to a large us engineering , construction and technical services organization ."
1286,"on the route between helsinki in finland and tallinn in estonia , cargo volumes increased by 36 % , while cargo volumes between finland and sweden fell by 9 % ."
1287,"a coker crane will be supplied to tesoro corporation 's golden eagle refinery in martinez , california , while a similar crane will be delivered to bp 's castell refinery in spain ."
1288,"net interest income was eur 152.2 mn , up from eur 101.0 mn in 2008 ."
1289,"at the moment , there are approximately 20 vianor sales offices in russia ."
1290,"- the group -“ s profit before taxes was eur 0,2 7,8 million ."
1291,profit after taxes totaled eur 12.1 mn .
1292,"profit for the period was eur 5.9 mn , up from eur 1.3 mn ."
1293,"france t+_l+_com spent more time studying teliasonera than other potential takeover targets because it has a shareholder that wants to sell , pellissier said ."
1294,"honkarakenne also decided yesterday to sell 88,500 of its b-series shares to key staff members for eur 2.90 per share ."
1295,"strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising ."
1296,"the order includes a new crecent former , headbox , and reel ."
1297,"the subscriptions increase cargotec 's share capital by eur 27,060 ."
1298,the company expects net sales to significantly increase from 2009 .
1299,the geosolutions team further provides an intriguing new technology combining gps and mobile-based technologies together with internet-based social networking .
1300,"the corresponding increase in the share capital due to these subscriptions with the warrants , in total eur 1,860.74 , was registered with the finnish trade register on january 4 , 2008 ."
1301,"our strong company brands - esl shipping , leipurin , telko and kaukomarkkinat - aim to be the market leaders in their sectors ."
1302,electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .
1303,"the process products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in china , south america , and saudi arabia ."
1304,cargotec germany gmbh has been awarded a contract by stadtverwaltung mainz for chassis bodies under open procedure .
1305,sanoma magazines ' net sales are estimated to grow in 2006 .
1306,the parties have therefore agreed to leave avena out of the deal .
1307,"the fair value of the investment properties totaled eur 2,534.9 mn , up from eur 2,455.1 mn in 2006 ."
1308,r&d loan ) .
1309,"aho is proud of the company 's new product , lordi-cola ."
1310,the credit covers approximately 70 % of the ship 's price .
1311,"the order consists of capacity expansion , maintenance services and new charging functionality , the company said ."
1312,"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 ."
1313,national sponsors for the big read include national endowment for the arts in cooperation with the institute of museum and library services and arts midwest .
1314,"the wireless industry is bracing itself for the iphone , which will launch on june 29 ."
1315,it also turned in earnings per share ( eps ) of eur 0.44 versus loss per share of eur 2.26 .
1316,"again , the most significant sales increase of 18.6 % was in russia ."
1317,airbus will attempt to evacuate up to 873 people within 90 seconds .
1318,sponda plc stock exchange release 5 december 2006 at 15.45 eur 1.5 billion syndicated credit facility for sponda sponda has signed an agreement for a one-year syndicated credit facility for a total of eur 1.5 billion .
1319,"forestries were also higher , driven by yesterday 's bullish analyst comment on stora enso in dagens industri , dealers said ."
1320,"our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment ."
1321,- tikkurila inspires you to color your life .
1322,this corrensponds to 4.628 percent of okmetic 's share capital and voting rights .
1323,"nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
1324,"the finnish business delegation includes representatives from over 20 companies that include nokia corp , finnfund , outokumpu oyj , oko bank , alteams oy and cargotec corp. ."
1325,"m-real corporation stock exchange announcement 29 september 2006 at 4.15 p.m. kyro corporation and m-real corporation , a metsaliitto group subsidiary , have agreed on an arrangement which gives m-real option to purchase the kyroskoski natural gas powerplant from kyro ."
1326,"in finland , 71 % of paper and paperboard is reclaimed ."
1327,m-real plans to discontinue production of standard coated fine paper in the hallein and gohrsm++hle mills .
1328,the sales price was not disclosed .
1329,"today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them ."
1330,"stora enso oyj , the largest papermaker , in october said it would close four mills ."
1331,"the swedish maritime administration has closed the furusund channel , which viking line normally charters en route to stockholm ."
1332,"navteq has a commanding lead in installed map data systems in north american vehicles and may be the leader in turn-by-turn navigation data offered by services such as onstar in north america , said analyst phil magney of telematics research group in minnetonka , minn. ."
1333,the company 's net sales in 2010 totalled meur 311.4 with an operating margin of 13.9 per cent .
1334,"city24 users can search for homes and properties in all areas where city24 is active , even outside their own country ."
1335,"`` our customers now have the chance to make bookings for all the services they want at one location , '' said mikko tuomainen , in-charge of finnair 's internet ( sales ) ."
1336,pharmaceutical market in netherlands global research & data services published recently a market analysis about the pharmaceutical markets in netherlands .
1337,"finnish cargotec 's kalmar , the business area providing container handling solutions , has been awarded an order for a further ten e-one rubber-tyred gantry rtg cranes from saigon newport company snp , in vietnam ."
1338,some of the lay-offs will be implemented using part-time employment contracts .
1339,"one can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities ."
1340,valga lihatoostus markets its products under the maks & moorits trademark .
1341,"the total number of shares in the company will be 585,236,987 innofactor group innofactor offers its customers comprehensive solutions in the microsoft environment ."
1342,finnish okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company norsun have signed a contract under which okmetic will supply norsun mono silicon crystals for use in solar cell manufacturing .
1343,uponor improved its performance in spite of the decrease in residential construction in the us .
1344,"the personnel reduction will be carried out in anjalankoski , hollola , jyvaskyla , jarvenpaa , karhula , turku and valkeakoski units ."
1345,nordea was the cheapest also for a couple in their 30s with debt .
1346,"the 3c expo is a signature show in dongguan , which is supported by the dongguan municipal government every year , featuring computer accessories , software , communication and network products ."
1347,work on the assignment has already started and is due for completion in spring 2011 .
1348,"these companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in liljeholmen , stockholm ."
1349,the cooperation with airbaltic is expected to lead to the transfer of finncomm to the ownership of airbaltic in time .
1350,the customers will have an access to integrated propeller and gear packages from one source .
1351,"the power supplies , dc power systems and inverters designed and manufactured by efore , and systems incorporating them are used in many different applications ."
1352,"ahlstrom corporation stock exchange announcement 23.4.2007 ahlstrom corporation will publish its first quarter financial results 2007 on friday , april 27 , 2007 approximately at 8.30 a.m. finnish time ."
1353,"finnish w+ærtsil+æ that provides power solutions for the marine and energy markets has opened a service centre in murmansk , in russia ."
1354,"honkarakenne also decided yesterday to sell 88,500 of its b series shares to key staff members for eur2 .9 per share ."
1355,"that address also happens to house italian megamart eataly , meaning that `` come on , kids , we 're going to the toy building ! ''"
1356,the program 's target is structural cost reductions of about eur 30mn in 2009 .
1357,"however , simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , orion added ."
1358,"alexandria , va. , may 23 -- matti harkonen and pentti sipponen , both of espoo , finland , osmo suovaniemi of helsinki , finland , and tapani tiusanen of vantaa , finland , have developed a paper web press device ."
1359,"in the financial statement for the first quarter of 2010 , tikkurila is reported under discontinued operations ."
1360,the event can also be viewed as a live audio webcast at www.ahlstrom.com .
1361,18 january 2010 - finnish it consultancy trainers ' house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .
1362,increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .
1363,"as a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of eur 15,665.20 ."
1364,runway visual range is a calculated assessment of the distance that a pilot can see down a runway .
1365,"a downloadable instruction sheet , instructional video , and project ideas for the award-winning everywhere punch tm window system can be found at www.fiskars.com ."
1366,"it is also set to launch a messaging service in the next few days , which would enable users to access their e-mail accounts on ms exchange ."
1367,"investors will continue being interested in the company 's share although it is not quite cheap , affarsvarlden said ."
1368,"patrick jeambar will also continue being responsible for innovation and health , safety and environment hsea functions of ahlstrom corporation ."
1369,"in today s business , you have to pre-empt what consumers want , said mohammed zainalabedin , general manager , zain bahrain ."
1370,sanoma magazines finland 's net sales grew to eur 140.1 mn from eur 131.8 mn .
1371,"fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , wartsila corporation ."
1372,"finnish industrial investor panostaja oyj omx helsinki : pnaas omx helsinki : pnabs said on friday 11 july that it has signed a deal to acquire the entire share capital of kospa oy , the manufacturer of waste disposal equipment ."
1373,"alexandria , va. , jan. 9 -- united states patent no. 7,862,685 , issued on jan. 4 , was assigned to kemira chemicals inc. ( marietta , ga. ) ."
1374,"( adp news ) - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today that its net profit rose to eur 116.6 million ( usd 149.1 m ) in the first nine months of 2008 from eur 73.6 million for the s"
1375,the fund at fair value will increase correspondingly .
1376,the new shares will provide the shareholders with full shareholder rights .
1377,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .
1378,"as a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at kirkkonummi and nivala factories ."
1379,"the polish business employs about 1,000 people , and it had net sales of about eur 70mn in 2007 ."
1380,the rationalization of the operations seeks to achieve over eur 1 million in yearly savings as from the second quarter of the current financial year .
1381,"financial statements include the consolidated financial statements of the group , the board of directors ' report , the auditors ' report and the corporate governance statement ."
1382,protalix is developing genetically engineered proteins from plant cells .
1383,status : agreed
1384,"in the survey , goodyear is the third most valued tyre brand , followed by continental and bridgestone ."
1385,"the group 's revenue amounts to over eur 80 million , about half of which is accounted for by exports ."
1386,the serial bond is part of the plan to refinance the short-term credit facility .
1387,"when completed , the 120-meter watchtower will be the highest building in ireland ."
1388,`` the flex is a small price to pay for happy lenders . ''
1389,"the contracts of the employees , 96 of whom are blue-collar workers , will be ended between march and august 2011 ."
1390,"to check them out or to make a bid they will be in the deka showroom , fortitude valley ."
1391,the costs of the new ropax vessels are 30 % lower than those of the present ones .
1392,it said comptel delivers reliable provisioning and activation solutions which improve fulfilment processes for operators .
1393,`` the government has had a very professional approach in assessing the offer .
1394,honkarakenne oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring finnish crosscountry skier virpi kuitunen for the next three years .
1395,"at the request of finnish media company alma media 's newspapers , research manager jari kaivo-oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland 's national economy by using a model developed by the university of denver ."
1396,the agreement expands tekla structures ' scope of use to bridge design .
1397,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 ."
1398,the machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .
1399,"arto ryymin , born 1964 , will replace juhani kaisanlahti who has worked as acting evp , healthcare & welfare since august 2007 ."
1400,ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the u.s. and $ 8 billion globally .
1401,"srv will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ."
1402,"stonesoft is a global provider of proven , next generation solutions that simplify network security management ."
1403,- cash flow from operating activities before investments was eur 7.6 million eur 2.5 million .
1404,"new delhi , feb. 12 -- korteniemi anneli , helokunnas tuija , peltola marjo , keskinen jukka , salminen jussi , tusa kia and janhonen risto of nokia telecommunications oy , espoo , finland have developed cable adjustment device ."
1405,the company also said that its board of directors has proposed a profit distribution of eur0 .92 per share .
1406,"in 2008 , it generated net sales of eur 9.3 million usd 13.1 m ."
1407,"of this , eur 38.8 mn was net interest income ."
1408,we do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .
1409,"sales in latin america increased by 42 % to eur 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 ."
1410,the value of the order is around eur 100 million .
1411,sales have risen in other export markets .
1412,"profitability ( ebit % ) was 13.9 % , compared to 13.1 % in the previous-year period ."
1413,"the group 's turnover in 2006 was eur 39.2 million , and operating profit was eur 3.9 million ."
1414,"to our members and partners , the use of it will mostly be apparent in the increased efficiency of the results service , '' observes perttu puro from tradeka ."
1415,this allows devices such as mobile phones to become a few millimetres thinner .
1416,"geosentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed ."
1417,finnish logistics and information solutions provider done solutions corporation ( omx helsinki : dso1v ) reported on wednesday ( 29 october ) an operating profit of eur3 .6 m on net sales of eur35 .1 m for the period january-september 2008 .
1418,kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
1419,"in addition to the demand in finland , the export of lining stone products also increased ."
1420,okmetic has used the furnaces for the contract manufacturing of solar crystals .
1421,"the operations to be sold include manufacturing units in finland , france , poland and turkey , as well as sales units in germany and lithuania ."
1422,"finnish suominen corporation that makes wipes , nonwovens , and flexible packaging , has a plant near warsaw , in poland , that makes flexible packaging ."
1423,"the maximum obligated total trades per day is isk 400,000,000 market value ."
1424,"lee & man paper and metso have a long and prosperous co-operation , a good example of which are the changshu and hongmei kraftliner machines delivered earlier ."
1425,"with the new arrangement , customer responsibilities will become mainly regional ."
1426,"capman , the finnish alternative asset manager , has made an acquisition for its helsinki-focused vehicle , real estate fund i. the fund has bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s ."
1427,it inspects the companys strategic strengths and weaknesses .
1428,"turnover surged to eur61 .8 m from eur47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business ."
1429,aspocomp has repaid its interest bearing liability to standard chartered bank and will use the rest of the consideration to partially repay its interest bearing liabilities in finland and to improve its liquidity .
1430,margin call of zanadvorov has given the chance to make such purchase under the credit of deutsche bank for usd 560 million .
1431,airbus has 100 firm orders for the a350 and 89 nonbinding commitments .
1432,"in banking , sampo a was unchanged at 14.24 eur and nordea rose 0.42 pct to 9.51 eur ."
1433,pharmaceuticals - italy this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in italy .
1434,"ethanol would be made from barley , and production could start in 2008 ."
1435,"the financial impact is estimated to be an annual improvement of eur2 .0 m in the division 's results , as of fiscal year 2008 ."
1436,"paper company m-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the co2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car ."
1437,"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate ."
1438,"earnings per share ( eps ) were eur0 .03 , up from the loss of eur0 .083 ."
1439,"jp morgan expects that scala will lower nobel biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct ."
1440,it also has potential clients in the growing environmental and recycling technology sectors .
1441,"a replay will be available until 27 october 2006 in the following numbers : us callers : +1 617-£801-£6888 , non-us callers : +44 20 7365 8427 , access code : 2659 5401 ."
1442,"deutsche beteiligungs , as well as a private equity fund it manages , first bought 75 % of mce in a secondary buyout from white plains , n.y. , financial investor andlinger & co. in 2007 ."
1443,"fortum needs a clear signal of commitment from the government that the permit is available before the company will start the next round , kuula says ."
1444,"`` this is super nasty , '' said eric schultze , chief technology officer at shavlik technologies llc , a st. paul , minn.-based maker of patch management tools ."
1445,"luxembourg-registered investment fund amber trust ii has won the final approval of lithuania 's competition council to acquire 29.6 percent of sanitas , the country 's largest pharmaceutical producer ."
1446,"from business line , may 16 , 2008 sriperumbudur , may 15 - nokia 's two key suppliers - aspocomp and wintek - are likely to start operations within three months in the nokia telecom park at sriperumbudur , 45 km west off chennai ."
1447,"the aim of the ceo 's q&a sessions is to give further clarity on information , which has been made public already earlier ."
1448,"product deliveries will not be interrupted , the refiner said , giving no financial details ."
1449,operating result including non-recurring items rose to eur 146mn from a loss of eur 267mn in 2009 .
1450,"`` qpr 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes ."
1451,"madison , wis. , feb. 6 - prnewswire - -- fiskars announces that the united states patent and trademark office has granted a trademark registration for the color orange on its iconic scissor handles ."
1452,"previously , grimaldi held a 46.43 pct stake in the finnish company following the takeover bid launched in november 2006 ."
1453,"in finland , hamina cargo terminal , of finnish nurminen logistics , has purchased a warehouse with ground lease rights in the port of hamina ."
1454,"of the price , kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 ."
1455,the non-recurring costs caused to talentum 's premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .
1456,quality chargers under chargz brand are sold in selected retail stores and other sales locations world-wide .
1457,`` we know there are some of our own people out there . ''
1458,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .
1459,in 2007 etteplan reported a turnover of eur125 .2 m.
1460,"the company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and nordic walking poles , floorball sticks and antenna radomes ."
1461,the expansion aims to attract new customers both in finland and abroad .
1462,"in the asia-pacific region , visa wave is available in malaysia , taiwan and south korea and will be expanded to japan and southeast asia this year , jung added ."
1463,"according to mark white , locatrix communications ' ceo , the company 's web services interface allows device owners , friends , and family to track and locate twig users via any web browser ."
1464,"the company recorded revenues of e658 .1 million during the fiscal year ended december 2007 , an increase of 23 % over 2006 ."
1465,the lay-offs will affect 240 people out of the total 320 okmetic employees in finland .
1466,"finnish suominen corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of eur 44.1 mn in the second quarter of 2010 , up from eur 43.3 mn in the second quarter of 2009 ."
1467,"an additional amount , capped at eur12m , is payable in cash upon the achievement of certain financial performance targets in 2007 ."
1468,"upon establishment , the plan is directed to approximately 20 persons ."
1469,"neste oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility fortum shed 1.14 pct to 20.76 eur ."
1470,"we can choose the most efficient , best overall value option for our customers already at the bidding stage ."
1471,the company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .
1472,the company also said that in poland a profitability program has been launched at the oborniki steel frame and sandwich panel plant .
1473,the company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .
1474,"harold w. young is an independent broker working closely with several retailers including ahold usa , market basket , cvs , bj 's wholesale club , hannaford and cumberland farms ."
1475,her last position in nokia siemens networks was head of business human resources nsn global it .
1476,"finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v reported on thursday 30 october an operating profit of eur7 .4 m for january-september 2008 , up from eur6 .1 m in the corresponding period in 2007 ."
1477,olvi expects sales and market share to increase in the first quarter of 2010 .
1478,total operating revenue grew by 27.6 % year-on-year to eur61m .
1479,"the most important export markets are norway , germany , russia and france ."
1480,rautaruukki said construction group yit has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the kemijoki river in northern finland .
1481,"according to gallup food and farm facts , beef consumption totaled 99mn kilos in finland in 2007 ."
1482,as a result of the negotiations the employment of 130 blue - and white-collar employees at the oulu plant would be terminated .
1483,the handset maker did not disclose any financial details .
1484,net sales revenue per passenger is expected to increase .
1485,"outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier ."
1486,"operating profit totalled eur 0.4 mn , up from an operating loss of eur 0.8 mn year-on-year ."
1487,another firm air liquide was exempted because it left the market in 1998 .
1488,the solution will be installed in the usa to support the north american operations of the customer .
1489,"following the issue , the new shares will constitute 10 percent of the firm 's capital ."
1490,curators have divided their material into eight themes .
1491,metsaliitto said that it will book a minor gain of less than eur1 .0 m from the transaction .
1492,the company 's share is listed in the mid cap segment of the nasdaq omx helsinki .
1493,"the contract covers turnkey deliveries to all five airports operated by the authority -- john f kennedy , laguardia , newark , teterboro and stewart international ."
1494,market data and analytics are derived from primary and secondary research .
1495,net sales increased to eur655m in april to june 2010 from eur438m a year earlier .
1496,"the total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations ."
1497,"cohen & steers , inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ."
1498,"elcoteq 's stock of orders has stabilised in the past weeks , mr krippl said ."
1499,this is the second successful effort for the financial investor this year .
1500,"more than 200 volunteers from fiskars , the garden tool company , home depot ( nyse : hd ) , the city of baltimore and the neighborhood are working right now to create a garden sanctuary - in a single day ."
1501,"following the increase , huhtamaki oyj 's registered share capital is eur 358,706,290.00 and the number of shares outstanding is 105,501,850 ."
1502,"( adp news ) - feb 6 , 2009 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today its net profit rose to eur 19.2 million ( usd 24.6 m ) for 2008 from eur 17.5 million for 2007 ."
1503,"the deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said ."
1504,"in 2006 , teliasonera net sales were sek 91 bn , ebitda was sek 32.266 bn , net income was sek 19.28 bn ."
1505,"the pilot project proved that rifd technology is ideal for our purposes '' , comments olli saarinen , material handling supervisor at yara ."
1506,synergy benefits will start to materialise in the second quarter .
1507,"the broker started upm-kymmene , stora enso and sappi with ` equal-weight ' recommendations and holmen and norske skog with ` underweight ' ratings ."
1508,"dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world ."
1509,saunalahti is a part of the elisa group .
1510,neste oil corporation refining operation asset summary report summary neste oil corporation refining operation assets summary report is an essential source for company data and information .
1511,"mformation and nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management ."
1512,the company then said it will focus its resources on clinical research .
1513,"`` the second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said magnus rosen , ramirent ceo ."
1514,alma media 's net sales in 2009 totalled meur 307.8 with an operating margin of 13.5 per cent .
1515,this combined with foreign investments creates interesting opportunities for solteq .
1516,"furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' ceo jan lang said ."
1517,the intent of the article was to focus attention on the fact that the development model that china had followed was very different than the model that india had followed .
1518,stichting pensioenfonds abp : 4 118 122 shares representing 5.19 % of the share capital and voting rights .
1519,"with sales of $ 12.7 billion over the last twelve months ending october , 2010 and over 9,200 stores in 35 states , dollar general is the nation 's largest small box discount retailer ."
1520,"tvo 's two-unit 1,740 mw olkiluoto plant generated 14.2 twh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' ."
1521,the estimated synergy benefits are at least eur7m annually .
1522,"press release 9 october 2009 ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna , finland ."
1523,"fiskars , the world 's  1 scissors brand tm , recently won learning -‹ magazine 's 2011 teachers ' choice award for the classroom ."
1524,the first of the two project phases is expected to be completed by the end of 2012 .
1525,` nordic infrastructure construction is one of our strategic growth areas .
1526,"in the second quarter of 2010 , the group 's net profit rose to eur 3.1 million from eur 2.5 million in april-june 2009 ."
1527,"lemminkainen oyj said that it has signed credit agreements with nordea bank sto : nda , pohjola bank hel : poh1s , sampo bank hel : samas and svenska handelsbanken sto : shb a ."
1528,"h1 '08 h1 '07 q2 '08 q2 '07 in mln euro , unless otherwise stated net sales 386 328.6 201 160.7 operating profit 46.3 35.8 23.2 9.5 pre-tax profit 33.6 26.9 18.7 5.1 net profit 25.1 25.4 14 4.0 eps in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.com"
1529,"the method utilises waterborne ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer ."
1530,componenta 's objective with this agreement is to increase business on its existing production lines .
1531,the group 's cash flow from operations will be positive .
1532,these six agreements are the company 's first customer acquisitions in india since taking over tvs electronics ' contract manufacturing facility in jun 2007 .
1533,"a corresponding increase of 85,432.50 euros in ahlstrom 's share capital has been entered in the trade register today ."
1534,"in addition , the kazakh delegation will visit finland 's sitra investment fund , honkarakenne ltd and nokia headquarters to study teliasonera ltd jsc 's activities ."
1535,the stock rose for a second day on wednesday bringing its two-day rise to gbx12 .0 or 2.0 % .
1536,finnish consumer packaging manufacturer huhtamaki oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .
1537,"on the other hand , montevideo said that having the two mills working in the area will generate jobs ."
1538,"the study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ."
1539,"the order includes a steel frame , load-bearing roof structures and partition wall elements , and rautaruukki said it expects to complete installation as early as may next year ."
1540,the medium-term operative targets of the company remain unchanged .
1541,"the metal has gained 41 percent this year as demand from china , the world 's largest user , increased ."
1542,this acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .
1543,the ship unloader is totally enclosed along the entire conveying line to the storage facilities .
1544,"in the czech republic , the smaller profiling unit at ostrava will be closed and the machinery will be gradually relocated to ruukki 's bigger plants in hungary , poland and romania by the end of the first quarter of 2009 ."
1545,the company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
1546,"the segu companies and pkc 's polish unit will form a business servicing the western european markets with `` annual sales of about hundred million '' and about 2,500 employees , the finnish company 's ceo , harri suutari , said ."
1547,"as part of the reorganization , kauko-telko ltd will be divided into telko ltd , leipurin ltd , hamina terminal services ltd and kaukomarkkinat ltd. ."
1548,"componenta has production lines for similar-sized products at karkkila in finland , at weert in the netherlands and at orhangazi in turkey , and these had a combined output of approximately 100,000 tonnes and net sales of eur 135 million in 2007 ."
1549,"in 2010 , the marimekko group s net sales were eur 73,297 thousand ( eur 72,473 thousand ) and operating profit was eur 8,169 thousand ( eur 6,291 thousand ) ."
1550,"( adp news ) - sep 30 , 2008 - finnish security and privacy software solutions developer stonesoft oyj said today that it won a usd 1.9 million ( eur 1.3 m ) order to deliver its stonegate network security products to an unnamed russian te"
1551,aktia forecasts finland 's inflation at 1.1 % in 2010 .
1552,bm4 middle layer headbox will be equipped with a dilution control system .
1553,"kesko offers hilton to open a hotel on kalinisky prospect in a 18,000-square metres building because of these difficulties ."
1554,the stonegate utm solution offers protection against inbound and outbound attacks .
1555,"janis arbidans , ceo of yit celtnieciba , said the company was focusing on housing and real estate development market ."
1556,"metso oyj said it has sold its spreader roll manufacturing business and related assets in the town of nokia , southern finland , to a group of finnish investors , who will operate the business under the name of finbow oy ."
1557,"in finland , export industry forms a large clientele for the packaging industry ."
1558,the project is expected to be completed in 2009 .
1559,net sales in 2007 totalled eur 329 million and the operating margin was above 19 % .
1560,return on investment roi was 4.1 % compared to 43.8 % in the first half of 2008 .
1561,it has sold one half of its business operations and will enter the helsinki stock exchange via the back door through an innovative buyout arrangement with kasola .
